,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
0,SEE DEPT,Acting II,3.00,24358,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
1,SEE DEPT,Topics:Classical Drama/Cult II,2.00,24359,,01/14/13 - 04/29/13,"Jacobson, L",10,CLOSED,"ACA
"
2,SEE DEPT,Text,2.00,24360,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
3,SEE DEPT,Voice and Speech II,3.00,24361,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
4,SEE DEPT,Movement II,2.00,24362,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
5,SEE DEPT,Alexander Technique II,2.00,24363,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
6,SEE DEPT,Stage Combat II,2.00,24364,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
7,SEE DEPT,Practicum IV,3.00,24365,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
8,,Selected Topics,1.00,26217,,01/14/13 - 04/29/13,,10,OPEN,"ACA
"
9,FNGR 220,Intro Financial Accounting,3.00,21699,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Linsley, C",10,OPEN,ACCY
10,DUQUES 254,Intro Financial Accounting,3.00,20002,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Linsley, C",11,OPEN,ACCY
11,1957 E 214,Intro Financial Accounting,3.00,21254,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Mallek, J",12,OPEN,ACCY
12,FNGR 220,Intro Managerial Accounting,3.00,20003,MW11:10AM - 12:25PM,01/14/13 - 04/29/13,"Mallek, J",10,WAITLIST,ACCY
13,1957 E 112,Intro Managerial Accounting,3.00,20004,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Tan, L",11,OPEN,ACCY
14,DUQUES 151,Intro Managerial Accounting,3.00,20005,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Ray, K",12,OPEN,ACCY
15,1957 E 112,Intro Managerial Accounting,3.00,21252,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Tan, L",13,WAITLIST,ACCY
16,DUQUES 255,Intro Managerial Accounting,3.00,21386,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Ray, K",14,OPEN,ACCY
17,1957 E 112,Intro Managerial Accounting,3.00,21727,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Tan, L",15,OPEN,ACCY
18,FNGR 222,Intro Managerial Accounting,3.00,25345,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Ray, K",16,OPEN,ACCY
19,DUQUES 359,Intermediate Accounting 2,3.00,21701,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Tarpley, R",10,OPEN,ACCY
20,DUQUES 251,Advanced Financial&Tax; Accting,3.00,21566,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Smith, K",10,OPEN,ACCY
21,DUQUES 255,Financial Statement Analysis,3.00,22199,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Jones, C",10,OPEN,ACCY
22,FNGR 221,Business Law: Enterprise Org,3.00,20006,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Moersen, L",10,OPEN,ACCY
23,PHIL B156,Financial Accounting Capstone,3.00,21702,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Jones, C",10,OPEN,ACCY
24,,Econometrics for Biz&PubPolicy;,3.00,27483,,01/14/13 - 04/29/13,,11,CANCELLED,ACCY
25,,Fund of Fina Decision-Making,3.00,27347,,01/14/13 - 04/29/13,,80,CANCELLED,ACCY
26,,Fund of Fina Decision-Making,3.00,27868,,01/14/13 - 04/29/13,,80,CANCELLED,FINA
27,,Independent Study,3.00,20865,,01/14/13 - 04/29/13,,10,OPEN,ACCY
28,FNGR 209,Financial Accounting,3.00,25641,W07:10PM - 09:40PM,01/14/13 - 04/29/13,"Singleton, L",80,CLOSED,ACCY
29,FNGR 209,Financial Accounting,3.00,23678,W07:10PM - 09:40PM,01/14/13 - 04/29/13,"Singleton, L",80,CLOSED,MBAD
30,FNGR 208,Intermediate Accounting I,3.00,26159,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Xue, Y",10,CLOSED,ACCY
31,MPA 208,Intro: Africana Studies,3.00,27072,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Kristensen, R",10,OPEN,AFST
32,P 201,Food Politics,3.00,24805,F01:00PM - 04:00PM,01/14/13 - 04/29/13,"Palmer, P",10,OPEN,AMST
33,1957 E 113,Modern Amer Cultural History,3.00,23636,TR09:35AM - 10:25AM,01/14/13 - 04/29/13,"Kosek, J",80,OPEN,AMST
